N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"69,800",0,0.00%,100,"4,166,908","5,969,783",51.97,"12,907,613",12.08,13.92,
2,LG에너지솔루션,"439,000","31,000",+7.60%,500,"1,027,260","234,000",2.93,"1,521,085",110.77,10.68,
3,SK하이닉스,"118,000","2,500",-2.07%,"5,000","859,043","728,002",50.62,"5,270,837",8.95,16.84,
4,NAVER,"333,000","7,000",-2.06%,100,"546,283","164,049",54.62,"556,344",3.32,106.72,
5,삼성바이오로직스,"819,000","5,000",-0.61%,"2,500","541,891","66,165",10.53,"43,708",139.33,8.21,
6,삼성전자우,"63,900",100,+0.16%,100,"525,825","822,887",73.89,"938,764",11.06,N/A,
7,카카오,"105,000",0,0.00%,100,"468,429","446,123",28.73,"1,937,966",33.39,2.70,
8,삼성SDI,"541,000","10,000",+1.88%,"5,000","372,016","68,765",43.12,"413,843",32.55,8.45,
9,현대차,"174,000","2,000",-1.14%,"5,000","371,783","213,668",26.39,"561,341",9.75,6.84,
10,LG화학,"526,000","5,000",-0.94%,"5,000","371,316","70,592",48.46,"321,410",11.22,18.47,
11,기아,"71,600",500,-0.69%,"5,000","290,240","405,363",34.47,"795,691",6.10,14.69,
12,POSCO홀딩스,"299,500","4,500",-1.48%,"5,000","261,125","87,187",53.14,"262,641",3.95,13.97,
13,KB금융,"60,900",500,-0.81%,"5,000","251,123","412,352",72.51,"1,266,943",5.82,8.53,
14,카카오뱅크,"51,000",400,-0.78%,"5,000","242,331","475,159",16.37,"504,956",109.21,4.91,
15,셀트리온,"165,500","2,500",-1.49%,"1,000","228,316","137,956",19.27,"661,174",40.45,15.81,
16,삼성물산,"112,000",500,-0.44%,100,"209,314","186,887",15.76,"167,116",12.91,5.40,
17,신한지주,"40,100",300,+0.75%,"5,000","207,156","516,600",62.17,"1,433,594",5.33,8.80,
18,현대모비스,"210,500",500,+0.24%,"5,000","199,076","94,573",34.12,"178,190",8.48,6.87,
19,LG전자,"120,500",500,-0.41%,"5,000","197,196","163,648",28.30,"620,706",21.12,6.32,
20,SK이노베이션,"206,000","5,500",-2.60%,"5,000","190,479","92,466",23.26,"453,802",63.38,1.91,
21,카카오페이,"141,500",0,0.00%,500,"187,019","132,169",42.60,"127,753",-714.65,-2.45,
22,SK,"240,000",500,-0.21%,200,"177,958","74,149",21.76,"63,438",8.68,10.19,
23,하나금융지주,"49,350",400,-0.80%,"5,000","148,169","300,242",71.14,"1,031,407",4.20,10.86,
24,한국전력,"23,050",0,0.00%,"5,000","147,973","641,964",14.83,"1,229,094",-2.78,-7.99,
25,HMM,"30,200",950,-3.05%,"5,000","147,690","489,039",11.85,"4,618,305",2.20,88.62,
26,크래프톤,"278,500","2,000",-0.71%,100,"136,666","49,072",28.96,"102,001",24.34,17.86,
27,LG생활건강,"867,000","2,000",+0.23%,"5,000","135,410","15,618",40.93,"33,691",18.19,16.65,
28,두산중공업,"22,150",550,-2.42%,"5,000","134,195","605,845",8.38,"7,204,660",21.59,10.67,
29,삼성생명,"63,600",200,-0.31%,500,"127,200","200,000",12.74,"216,874",8.66,4.01,
30,SK텔레콤,"57,000",300,-0.52%,100,"124,735","218,833",45.62,"467,466",8.33,13.63,
31,하이브,"301,000","1,000",+0.33%,500,"124,474","41,353",15.38,"148,442",83.47,6.83,
32,삼성전기,"163,500","1,000",-0.61%,"5,000","122,124","74,694",29.16,"323,022",14.22,14.29,
33,SK바이오사이언스,"154,500","1,000",-0.64%,500,"118,347","76,600",5.18,"322,543",32.00,38.08,
34,LG,"74,200","1,300",-1.72%,"5,000","116,717","157,301",36.45,"203,546",4.79,12.36,
35,고려아연,"592,000","2,000",+0.34%,"5,000","111,710","18,870",19.53,"25,027",13.85,11.07,
36,KT&G,"80,800",100,-0.12%,"5,000","110,932","137,292",37.03,"217,181",11.35,10.74,
37,우리금융지주,"15,100",100,-0.66%,"5,000","109,937","728,061",34.73,"1,588,481",4.23,10.59,
38,현대중공업,"117,500",500,+0.43%,"5,000","104,308","88,773",3.34,"172,000",-11.02,-14.87,
39,S-Oil,"92,200","1,600",+1.77%,"2,500","103,801","112,583",78.25,"466,825",7.80,21.76,
40,대한항공,"29,750",250,-0.83%,"5,000","103,477","347,821",12.65,"848,051",15.62,11.60,
41,엔씨소프트,"463,500","1,000",+0.22%,500,"101,757","21,954",42.42,"68,807",28.62,20.83,
42,삼성에스디에스,"130,500",500,-0.38%,500,"100,978","77,378",12.76,"353,946",16.52,8.80,
43,LG이노텍,"403,000","3,000",-0.74%,"5,000","95,378","23,667",25.85,"198,575",10.74,30.94,
44,삼성화재,"201,000","1,000",+0.50%,500,"95,223","47,375",48.55,"87,119",9.06,7.09,
45,넷마블,"109,500",500,-0.45%,100,"94,119","85,954",22.81,"103,889",40.50,6.35,
46,KT,"35,000",400,+1.16%,"5,000","91,389","261,112",40.44,"1,545,318",6.73,9.36,
47,포스코케미칼,"117,500","4,500",+3.98%,500,"91,019","77,463",6.01,"461,669",66.65,7.92,
48,아모레퍼시픽,"155,500",0,0.00%,500,"90,956","58,493",27.92,"184,053",55.42,4.20,
49,SK아이이테크놀로지,"127,500","7,500",+6.25%,"1,000","90,904","71,298",9.70,"531,098",91.53,5.57,
50,기업은행,"10,900",100,+0.93%,"5,000","81,129","744,301",14.20,"887,779",3.59,9.21,
51,SK스퀘어,"55,100",500,-0.90%,100,"77,949","141,468",39.24,"475,210",3.42,N/A,
52,LG디스플레이,"20,550",500,+2.49%,"5,000","73,531","357,816",17.12,"4,011,526",6.20,9.68,
53,SK바이오팜,"91,000","1,200",+1.34%,500,"71,265","78,313",6.07,"117,096",109.90,15.75,
54,현대글로비스,"186,500","2,500",-1.32%,500,"69,938","37,500",43.43,"117,835",8.93,14.41,
55,롯데케미칼,"199,500","4,000",-1.97%,"5,000","68,379","34,275",24.66,"175,011",5.08,9.87,
56,한화솔루션,"35,100",450,-1.27%,"5,000","67,139","191,278",18.61,"470,085",10.62,8.79,
57,한국조선해양,"90,500","1,000",-1.09%,"5,000","64,050","70,773",19.72,"84,147",-6.89,-8.95,
58,한온시스템,"11,850",50,-0.42%,100,"63,255","533,800",17.54,"677,599",20.50,13.83,
59,LG유플러스,"14,000",0,0.00%,"5,000","61,126","436,611",36.79,"981,709",8.58,9.47,
60,에스디바이오센서,"58,500","1,000",+1.74%,500,"60,414","103,271",12.21,"489,142",8.87,139.97,
61,F&F,"769,000","4,000",-0.52%,500,"58,916","7,661",14.07,"19,456",16.91,N/A,
62,강원랜드,"27,350",200,+0.74%,500,"58,513","213,940",18.64,"530,158",-177.60,-7.92,
63,현대제철,"41,750",300,-0.71%,"5,000","55,714","133,446",20.82,"419,314",3.81,8.54,
64,CJ제일제당,"367,500","2,000",-0.54%,"5,000","55,324","15,054",22.51,"26,259",9.82,10.76,
65,SKC,"145,000","2,500",+1.75%,"5,000","54,909","37,868",16.67,"157,803",24.86,11.60,
66,맥쿼리인프라,"13,550",0,0.00%,0,"54,857","404,846",13.95,"567,842",N/A,N/A,
67,현대건설,"47,800",300,-0.62%,"5,000","53,228","111,356",23.16,"620,938",13.09,5.89,
68,메리츠화재,"44,050",500,+1.15%,500,"53,135","120,625",11.62,"217,802",9.14,16.91,
69,삼성엔지니어링,"26,500",200,-0.75%,"5,000","51,940","196,000",40.41,"1,218,149",13.95,20.67,
70,미래에셋증권,"8,390",30,+0.36%,"5,000","51,625","615,316",14.01,"670,414",5.74,8.94,
71,삼성중공업,"5,690",20,-0.35%,"1,000","50,072","880,000",14.51,"1,715,264",-2.77,-36.89,
72,코웨이,"67,500",400,-0.59%,500,"49,815","73,800",61.25,"133,762",10.70,27.41,
73,KODEX 200,"36,620",150,-0.41%,0,"48,174","131,550",5.73,"2,638,994",N/A,N/A,
74,DB손해보험,"67,500",200,+0.30%,500,"47,790","70,800",43.00,"101,931",6.00,9.08,
75,메리츠금융지주,"36,150","1,650",-4.37%,500,"47,375","131,051",7.90,"532,740",6.81,16.06,
76,금호석유,"156,000","5,500",-3.41%,"5,000","47,262","30,296",20.23,"295,383",2.66,47.76,
77,유한양행,"58,900",100,+0.17%,"1,000","43,133","73,231",17.70,"117,983",42.71,5.45,
78,한진칼,"64,000",900,+1.43%,"2,500","42,727","66,761",14.61,"300,900",249.03,1.11,
79,메리츠증권,"6,250",270,+4.52%,"1,000","42,608","681,731",12.52,"2,302,648",6.35,13.08,
80,한국금융지주,"76,300",500,-0.65%,"5,000","42,519","55,726",34.98,"139,239",2.66,27.12,
81,현대중공업지주,"53,800",400,+0.75%,"1,000","42,498","78,993",16.38,"111,572",-32.12,-1.99,
82,한국항공우주,"43,400",300,+0.70%,"5,000","42,304","97,475",17.55,"1,049,531",66.16,5.19,
83,한국타이어앤테크놀로지,"34,100",200,-0.58%,500,"42,241","123,875",40.65,"235,294",6.40,5.12,
84,일진머티리얼즈,"89,300",100,+0.11%,500,"41,177","46,111",12.86,"289,612",65.61,7.85,
85,쌍용C&E,"8,110",0,0.00%,100,"40,863","503,860",3.28,"357,857",21.98,11.12,
86,GS건설,"47,000",550,-1.16%,"5,000","40,223","85,581",27.04,"539,175",9.81,9.32,
87,두산밥캣,"39,850",100,-0.25%,500,"39,949","100,249",25.23,"111,748",10.35,9.19,
88,이마트,"139,000","2,000",-1.42%,"5,000","38,747","27,876",30.55,"116,586",2.47,16.25,
89,한국가스공사,"41,400","1,350",-3.16%,"5,000","38,218","92,313",11.17,"543,947",4.02,11.63,
90,GS,"40,800",300,+0.74%,"5,000","37,909","92,915",19.11,"160,415",2.67,15.55,
91,NH투자증권,"11,350",100,-0.87%,"5,000","37,644","331,666",16.23,"455,438",3.70,14.77,
92,삼성증권,"41,700",300,+0.72%,"5,000","37,238","89,300",30.13,"178,188",3.86,16.94,
93,삼성카드,"32,000",250,-0.78%,"5,000","37,075","115,859",7.26,"65,762",7.89,5.69,
94,팬오션,"6,780",300,-4.24%,"1,000","36,244","534,570",13.62,"4,566,969",6.60,17.16,
95,아모레G,"42,850",500,-1.15%,500,"35,333","82,458",15.56,"96,876",22.85,5.49,
96,한미약품,"279,500","2,500",+0.90%,"2,500","34,429","12,318",13.36,"18,414",51.37,8.75,
97,오리온,"86,400",200,+0.23%,500,"34,159","39,536",36.44,"122,297",13.26,12.75,
98,DB하이텍,"76,000",600,-0.78%,"5,000","33,743","44,399",24.09,"998,870",10.68,33.35,
99,롯데지주,"32,050",50,-0.16%,200,"33,623","104,909",7.87,"137,224",11.00,4.61,
100,한전기술,"86,600","2,100",-2.37%,200,"33,099","38,220",1.55,"480,898",201.40,3.25,
101,현대오토에버,"118,000","1,000",+0.85%,500,"32,360","27,424",1.90,"43,056",43.67,7.26,
102,한화시스템,"16,750",0,0.00%,"5,000","31,644","188,919",2.92,"583,235",26.59,6.04,
103,TIGER 차이나전기차SOLACTIVE,"14,650",355,-2.37%,0,"31,591","215,640",0.17,"5,886,405",N/A,N/A,
104,BGF리테일,"181,000","1,000",+0.56%,"1,000","31,284","17,284",30.96,"32,534",21.19,19.61,
105,호텔신라,"79,500",300,+0.38%,"5,000","31,202","39,248",12.67,"134,631",117.43,4.51,
106,현대미포조선,"78,100","1,800",-2.25%,"5,000","31,195","39,942",10.76,"163,088",-19.53,-7.11,
107,한미사이언스,"45,100",100,-0.22%,500,"30,949","68,624",2.31,"52,080",72.04,6.37,
108,현대차2우B,"83,600",900,-1.07%,"5,000","30,502","36,485",61.47,"81,175",4.68,N/A,
109,KCC,"336,000","3,000",+0.90%,"5,000","29,859","8,886",10.70,"35,295",-65.22,-0.92,
110,GS리테일,"28,250",0,0.00%,"1,000","29,583","104,718",7.41,"111,146",3.15,25.58,
111,대우건설,"7,070",60,-0.84%,"5,000","29,385","415,623",10.94,"1,879,915",6.06,16.47,
112,CJ대한통운,"127,500","4,500",-3.41%,"5,000","29,086","22,812",20.12,"58,459",53.12,1.59,
113,한화에어로스페이스,"55,500","1,100",+2.02%,"5,000","28,100","50,630",20.62,"783,532",11.12,9.21,
114,현대해상,"31,300",300,+0.97%,500,"27,982","89,400",26.70,"328,551",7.31,7.13,
115,대우조선해양,"25,800",200,-0.77%,"5,000","27,681","107,291",4.51,"398,041",-1.63,-55.86,
116,포스코인터내셔널,"22,100",50,+0.23%,"5,000","27,266","123,375",6.63,"357,714",7.56,10.86,
117,동서,"27,100",500,-1.81%,500,"27,019","99,700",2.96,"74,517",23.83,8.05,
118,롯데쇼핑,"95,000","1,400",-1.45%,"5,000","26,874","28,289",10.91,"71,713",-9.19,-2.94,
119,한솔케미칼,"235,000","7,500",+3.30%,"5,000","26,638","11,335",39.41,"92,601",17.95,23.88,
120,두산퓨얼셀,"40,450",250,-0.61%,100,"26,492","65,494",14.88,"184,575",381.60,1.69,
121,씨에스윈드,"62,600","1,900",-2.95%,500,"26,399","42,171",10.92,"286,399",39.10,10.13,
122,한화생명,"3,020",30,-0.98%,"5,000","26,230","868,530",7.73,"1,431,696",3.43,1.90,
123,제일기획,"22,800",50,-0.22%,200,"26,229","115,041",31.46,"122,259",15.86,15.58,
124,하이트진로,"37,100",400,-1.07%,"5,000","26,020","70,134",7.82,"291,625",36.84,6.62,
125,OCI,"109,000","6,000",-5.22%,"5,000","25,996","23,849",14.18,"423,823",4.01,23.93,
126,에스원,"68,300",500,+0.74%,500,"25,953","37,999",53.08,"30,721",20.12,9.13,
127,DL이앤씨,"134,000","3,500",+2.68%,"5,000","25,941","19,359",22.89,"908,324",4.95,N/A,
128,BNK금융지주,"7,850",0,0.00%,"5,000","25,586","325,935",39.91,"646,721",3.14,6.11,
129,키움증권,"97,300",100,+0.10%,"5,000","25,512","26,220",25.38,"78,391",2.80,27.63,
130,신세계,"258,500",500,+0.19%,"5,000","25,450","9,845",25.18,"53,823",8.29,8.54,
131,CJ,"83,600",700,+0.84%,"5,000","24,392","29,177",17.51,"30,317",10.84,5.66,
132,녹십자,"201,000","1,000",-0.50%,"5,000","23,490","11,687",22.53,"27,274",19.06,10.30,
133,한화,"31,150",100,-0.32%,"5,000","23,350","74,959",16.07,"120,519",3.38,20.22,
134,SK케미칼,"127,500","1,500",+1.19%,"5,000","22,466","17,621",18.25,"67,252",14.96,11.19,
135,신풍제약,"41,800","2,700",+6.91%,500,"22,148","52,985",5.02,"3,996,851",-199.05,-3.19,
136,현대로템,"20,150",50,+0.25%,"5,000","21,992","109,142",4.19,"754,322",33.09,5.01,
137,TIGER 미국나스닥100,"80,725","1,420",+1.79%,0,"21,659","26,830",0.09,"178,400",N/A,N/A,
138,효성첨단소재,"483,000","7,000",-1.43%,"5,000","21,638","4,480",7.54,"25,080",8.63,54.69,
139,만도,"44,900",550,-1.21%,"1,000","21,084","46,957",19.01,"282,334",12.62,9.31,
140,영원무역,"47,500",150,+0.32%,500,"21,048","44,311",28.08,"191,902",7.06,14.71,
141,KODEX 레버리지,"19,915",135,-0.67%,0,"21,030","105,600",2.80,"17,245,779",N/A,N/A,
142,롯데정밀화학,"80,200",300,-0.37%,"5,000","20,692","25,800",20.70,"110,534",3.53,30.43,
143,LG화학우,"264,500","3,000",-1.12%,"5,000","20,337","7,689",71.64,"23,395",5.64,N/A,
144,현대차우,"83,200",500,-0.60%,"5,000","20,265","24,357",57.10,"47,911",4.66,N/A,
145,한샘,"84,300",500,+0.60%,"1,000","19,839","23,534",15.15,"113,633",35.46,9.10,
146,솔루스첨단소재,"64,100",700,-1.08%,100,"19,608","30,590",6.12,"163,712",213.67,4.00,
147,대웅제약,"168,000",500,-0.30%,"2,500","19,465","11,587",7.92,"30,685",78.95,4.39,
148,효성티앤씨,"449,500","4,500",-0.99%,"5,000","19,453","4,328",11.63,"31,225",2.53,76.22,
149,KODEX 200선물인버스2X,"2,485",15,+0.61%,0,"19,294","776,400",5.98,"94,306,366",N/A,N/A,
150,한전KPS,"42,200",250,-0.59%,200,"18,990","45,000",5.54,"379,572",19.24,9.12,
151,휠라홀딩스,"31,200",500,-1.58%,"1,000","18,955","60,752",40.94,"661,626",8.06,16.20,
152,TIGER 200,"36,635",140,-0.38%,0,"18,885","51,550",0.11,"431,512",N/A,N/A,
153,대웅,"31,450",100,-0.32%,500,"18,286","58,142",4.54,"40,416",23.21,11.13,
154,TIGER 단기통안채,"100,730",10,+0.01%,0,"18,164","18,032",0.68,"242,886",N/A,N/A,
155,일동제약,"69,800","16,100",+29.98%,"1,000","18,011","25,803",2.71,"17,221,846",-16.66,-48.94,
156,농심,"295,000","3,500",-1.17%,"5,000","17,944","6,083",12.38,"9,236",17.97,4.73,
157,효성,"85,000",200,+0.24%,"5,000","17,910","21,071",7.29,"27,169",4.09,18.04,
158,두산,"107,500","3,500",-3.15%,"5,000","17,763","16,524",12.06,"385,016",-61.92,-34.34,
159,아이에스동서,"57,300",500,-0.87%,500,"17,701","30,893",4.11,"88,232",16.86,8.69,
160,후성,"19,000",400,-2.06%,500,"17,595","92,607",6.30,"1,213,871",63.97,2.79,
161,현대백화점,"74,600",100,+0.13%,"5,000","17,458","23,402",18.12,"58,564",9.22,4.36,
162,한미반도체,"34,350","1,050",+3.15%,200,"16,989","49,460",5.82,"430,768",16.39,34.59,
163,LIG넥스원,"76,600",100,-0.13%,"5,000","16,852","22,000",7.66,"350,445",16.04,14.63,
164,현대위아,"61,200",500,-0.81%,"5,000","16,643","27,195",6.93,"80,543",26.70,1.96,
165,KODEX 삼성그룹,"8,965",20,+0.22%,0,"16,540","184,500",0.13,"225,285",N/A,N/A,
166,LS,"51,300","1,200",-2.29%,"5,000","16,519","32,200",13.49,"68,717",5.95,8.15,
167,동국제강,"17,250",650,-3.63%,"5,000","16,462","95,433",22.44,"1,060,969",2.99,23.41,
168,오뚜기,"446,000","5,000",+1.13%,"5,000","16,377","3,672",11.64,"3,395",12.65,8.91,
169,JB금융지주,"8,310",80,-0.95%,"5,000","16,369","196,983",41.89,"270,709",3.43,10.06,
170,코오롱인더,"59,200",900,-1.50%,"5,000","16,291","27,519",20.36,"100,086",9.34,8.20,
171,동원시스템즈,"55,000",0,0.00%,"5,000","16,054","29,188",13.07,"21,607",36.94,6.95,
172,일진하이솔루스,"43,600","1,100",+2.59%,500,"15,833","36,313",1.30,"285,544",153.52,4.97,
173,롯데렌탈,"43,200",200,+0.47%,"5,000","15,826","36,634",1.96,"230,800",11.72,12.28,
174,KODEX 단기채권,"103,335",0,0.00%,0,"15,826","15,315",0.00,"18,412",N/A,N/A,
175,DGB금융지주,"9,300",20,+0.22%,"5,000","15,731","169,146",49.97,"466,721",3.32,6.93,
176,아시아나항공,"20,950",300,-1.41%,"5,000","15,589","74,412",7.19,"452,279",-3.60,-43.83,
177,현대엘리베이,"37,850",450,-1.17%,"5,000","15,449","40,815",30.33,"108,784",13.66,10.62,
178,롯데칠성,"165,500","3,500",-2.07%,500,"15,357","9,279",9.92,"33,494",12.09,9.96,
179,TIGER 미국S&P500,"13,900",165,+1.20%,0,"15,200","109,350",0.11,"1,059,006",N/A,N/A,
180,케이카,"30,950",100,-0.32%,500,"14,883","48,087",17.57,"241,987",51.41,15.11,
181,ESR켄달스퀘어리츠,"6,820",20,+0.29%,"1,000","14,533","213,089",53.79,"192,268",52.87,1.34,
182,KODEX MSCI Korea TR,"11,685",50,-0.43%,0,"14,431","123,500",4.61,"680,380",N/A,N/A,
183,대덕전자,"29,200",100,+0.34%,500,"14,430","49,417",15.53,"1,008,106",23.86,9.55,
184,티와이홀딩스,"28,150",100,+0.36%,500,"14,337","50,929",5.75,"23,591",8.07,11.58,
185,TIGER 미국테크TOP10 INDXX,"12,325",200,+1.65%,0,"14,205","115,250",0.47,"868,381",N/A,N/A,
186,LS ELECTRIC,"46,900",50,-0.11%,"5,000","14,070","30,000",16.12,"95,929",16.60,5.86,
187,한일시멘트,"20,300",450,-2.17%,500,"14,060","69,262",2.83,"360,417",17.89,5.89,
188,KODEX 종합채권(AA-이상)액티브,"105,490",155,-0.15%,0,"13,858","13,137",0.00,692,N/A,N/A,
189,롯데리츠,"5,700",10,+0.18%,500,"13,849","242,969",9.52,"187,740",75.00,1.59,
190,NHN,"36,800",200,-0.54%,500,"13,807","37,518",19.12,"59,468",42.49,1.35,
191,더존비즈온,"45,250",50,+0.11%,500,"13,748","30,383",34.86,"248,426",26.51,12.10,
192,한국앤컴퍼니,"14,000",50,+0.36%,500,"13,291","94,935",9.71,"47,858",5.37,5.08,
193,현대두산인프라코어,"6,720",40,-0.59%,"1,000","13,268","197,437",9.57,"782,456",2.94,24.63,
194,LX인터내셔널,"33,800",500,-1.46%,"5,000","13,101","38,760",24.65,"275,119",3.74,22.49,
195,PI첨단소재,"44,450",650,-1.44%,500,"13,053","29,366",11.52,"139,272",20.40,21.03,
196,삼성 레버리지 WTI원유 선물 ETN,"2,575",95,-3.56%,0,"12,978","504,000",0.00,"2,736,597",N/A,N/A,
197,TIGER MSCI Korea TR,"14,710",45,-0.30%,0,"12,960","88,100",0.00,349,N/A,N/A,
198,KODEX 2차전지산업,"18,895",415,+2.25%,0,"12,811","67,800",1.52,"2,459,673",N/A,N/A,
199,TIGER 미국필라델피아반도체나스닥,"11,580",445,+4.00%,0,"12,761","110,200",0.38,"1,533,873",N/A,N/A,
200,영풍,"686,000","7,000",+1.03%,"5,000","12,636","1,842",4.07,961,10.18,3.66,
